Spectrum 1,04/16/2025 11:07:37
[Global Parameters]
Frequency,2425000000,Hz
Reference Level,-100,dBW
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,875000,SamplesPerSecond
Acquisition Span,625000,Hz
Internal Preamp,false,
Actual RF Attenuation,0,dB
Control Spectrum settings,true,
Selected RF Channel,RF,
Selected I Channel,,
Selected Q Channel,,
Selected I Plus Channel,,
Selected I Minus Channel,,
Selected Q Plus Channel,,
Selected Q Minus Channel,,
Active Configuration,RF,
Termination,FiftyOhms,
Center Frequency,2425000000,
Reference Level,-70,dBm
Frequency,0,Hz
Down Converter Enabled,false,
Min RF Chan Freq,9000,Hz
Spectrum Inverted,false,
Injection Side,Low,
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Magnetic Declination,0,deg
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,false
Enabled,true
Frequency,2.42525,,GHz
Trace 1,-160.82,,dBW
[Marker M1]
Active,true
Enabled,true
Frequency,2.42480625,,GHz
Trace 1,-144.15,,dBW
[Marker M2]
Active,false
Enabled,false
Frequency,2.4152725,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,

[Parameters]
Span,500000,Hz
Resolution Bandwidth,100,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,

Video Bandwidth Enable,true,
Video Bandwidth,100,Hz
Video Bandwidth,1000,Hz
VBW AnalysisLength Option,SpectrumLength,

[Trace Parameters]
Trace 1
Selected,true,
,false,
Trace Description,Trace 1,
,false,
Function,Average,
Detection,Average,


[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,


[Results]
Marker Power ENBW,105.5023909165168,Hz,-0.011745142857142859,0.023489142857142858
Noise Marker Offset,-20.232623018146029,dB,-0.011745142857142859,0.023489142857142858
Actual RBW,100.00255834564311,Hz,-0.011745142857142859,0.023489142857142858
Spectrum Segments,2,,-0.011745142857142859,0.023489142857142858

[Traces]
[Trace]
Trace 1,,dBW,-0.011745142857142859,0.023489142857142858
NumberPoints,2401
XStart,2424750000,Hz
XStop,2425250000,Hz
-148.34030151367188,2424750000
-148.78950500488281,2424750208.3333333333333333333
-148.77279663085938,2424750416.6666666666666666667
-149.27139282226563,2424750625.0000000000000000000
-149.28080749511719,2424750833.3333333333333333333
-149.83810424804688,2424751041.6666666666666666667
-149.5469970703125,2424751250.0000000000000000000
-149.92019653320313,2424751458.3333333333333333333
-149.689697265625,2424751666.6666666666666666667
-150.74310302734375,2424751875.0000000000000000000
-151.30780029296875,2424752083.3333333333333333333
-151.09890747070313,2424752291.6666666666666666667
-151.07049560546875,2424752500.0000000000000000000
-151.34440612792969,2424752708.3333333333333333333
-151.69529724121094,2424752916.6666666666666666667
-152.11329650878906,2424753125.0000000000000000000
-152.29969787597656,2424753333.3333333333333333333
-152.41130065917969,2424753541.6666666666666666667
-152.70779418945313,2424753750.0000000000000000000
-153.80589294433594,2424753958.3333333333333333333
-153.70649719238281,2424754166.6666666666666666667
-154.56869506835938,2424754375.0000000000000000000
-154.58070373535156,2424754583.3333333333333333333
-155.18609619140625,2424754791.6666666666666666667
-155.82159423828125,2424755000.0000000000000000000
-156.21879577636719,2424755208.3333333333333333333
-156.75,2424755416.6666666666666666667
-157.00419616699219,2424755625.0000000000000000000
-157.15589904785156,2424755833.3333333333333333333
-157.06120300292969,2424756041.6666666666666666667
-157.74679565429688,2424756250.0000000000000000000
-157.85820007324219,2424756458.3333333333333333333
-157.61920166015625,2424756666.6666666666666666667
-157.76750183105469,2424756875.0000000000000000000
-157.30160522460938,2424757083.3333333333333333333
-157.01910400390625,2424757291.6666666666666666667
-156.95700073242188,2424757500.0000000000000000000
-156.35920715332031,2424757708.3333333333333333333
-155.98100280761719,2424757916.6666666666666666667
-155.26040649414063,2424758125.0000000000000000000
-154.86669921875,2424758333.3333333333333333333
-154.26390075683594,2424758541.6666666666666666667
-153.29289245605469,2424758750.0000000000000000000
-152.88200378417969,2424758958.3333333333333333333
-151.89630126953125,2424759166.6666666666666666667
-150.85589599609375,2424759375.0000000000000000000
-150.76759338378906,2424759583.3333333333333333333
-149.47709655761719,2424759791.6666666666666666667
-148.96490478515625,2424760000.0000000000000000000
-147.96710205078125,2424760208.3333333333333333333
-148.04629516601563,2424760416.6666666666666666667
-147.79010009765625,2424760625.0000000000000000000
-146.95530700683594,2424760833.3333333333333333333
-147.06100463867188,2424761041.6666666666666666667
-146.42559814453125,2424761250.0000000000000000000
-146.70579528808594,2424761458.3333333333333333333
-147.139892578125,2424761666.6666666666666666667
-147.17559814453125,2424761875.0000000000000000000
-147.33590698242188,2424762083.3333333333333333333
-147.05499267578125,2424762291.6666666666666666667
-147.07049560546875,2424762500.0000000000000000000
-147.51100158691406,2424762708.3333333333333333333
-147.68980407714844,2424762916.6666666666666666667
-147.52330017089844,2424763125.0000000000000000000
-147.04110717773438,2424763333.3333333333333333333
-147.14720153808594,2424763541.6666666666666666667
-146.50129699707031,2424763750.0000000000000000000
-146.25819396972656,2424763958.3333333333333333333
-145.735595703125,2424764166.6666666666666666667
-145.65870666503906,2424764375.0000000000000000000
-145.38070678710938,2424764583.3333333333333333333
-145.53819274902344,2424764791.6666666666666666667
-145.62010192871094,2424765000.0000000000000000000
-145.58529663085938,2424765208.3333333333333333333
-145.64700317382813,2424765416.6666666666666666667
-146.40589904785156,2424765625.0000000000000000000
-146.78889465332031,2424765833.3333333333333333333
-146.74319458007813,2424766041.6666666666666666667
-147.07589721679688,2424766250.0000000000000000000
-146.42730712890625,2424766458.3333333333333333333
-146.48289489746094,2424766666.6666666666666666667
-146.33079528808594,2424766875.0000000000000000000
-146.35000610351563,2424767083.3333333333333333333
-145.83549499511719,2424767291.6666666666666666667
-145.63369750976563,2424767500.0000000000000000000
-145.99899291992188,2424767708.3333333333333333333
-145.42340087890625,2424767916.6666666666666666667
-145.84230041503906,2424768125.0000000000000000000
-145.46000671386719,2424768333.3333333333333333333
-145.87759399414063,2424768541.6666666666666666667
-146.23390197753906,2424768750.0000000000000000000
-146.79710388183594,2424768958.3333333333333333333
-146.88160705566406,2424769166.6666666666666666667
-147.65660095214844,2424769375.0000000000000000000
-148.1820068359375,2424769583.3333333333333333333
-148.35920715332031,2424769791.6666666666666666667
-148.63380432128906,2424770000.0000000000000000000
-149.13760375976563,2424770208.3333333333333333333
-149.42500305175781,2424770416.6666666666666666667
-149.96629333496094,2424770625.0000000000000000000
-150.12179565429688,2424770833.3333333333333333333
-150.15080261230469,2424771041.6666666666666666667
-150.93389892578125,2424771250.0000000000000000000
-151.09410095214844,2424771458.3333333333333333333
-151.27589416503906,2424771666.6666666666666666667
-151.49299621582031,2424771875.0000000000000000000
-151.54269409179688,2424772083.3333333333333333333
-152.39340209960938,2424772291.6666666666666666667
-153.13690185546875,2424772500.0000000000000000000
-153.52200317382813,2424772708.3333333333333333333
-153.79440307617188,2424772916.6666666666666666667
-154.57969665527344,2424773125.0000000000000000000
-154.89109802246094,2424773333.3333333333333333333
-155.69590759277344,2424773541.6666666666666666667
-155.9862060546875,2424773750.0000000000000000000
-156.36599731445313,2424773958.3333333333333333333
-156.57659912109375,2424774166.6666666666666666667
-156.85369873046875,2424774375.0000000000000000000
-156.64610290527344,2424774583.3333333333333333333
-156.94610595703125,2424774791.6666666666666666667
-156.31320190429688,2424775000.0000000000000000000
-156.05450439453125,2424775208.3333333333333333333
-155.5718994140625,2424775416.6666666666666666667
-155.39140319824219,2424775625.0000000000000000000
-154.97120666503906,2424775833.3333333333333333333
-154.6123046875,2424776041.6666666666666666667
-153.98750305175781,2424776250.0000000000000000000
-153.64210510253906,2424776458.3333333333333333333
-153.31449890136719,2424776666.6666666666666666667
-152.62359619140625,2424776875.0000000000000000000
-152.33880615234375,2424777083.3333333333333333333
-151.63789367675781,2424777291.6666666666666666667
-150.70359802246094,2424777500.0000000000000000000
-150.51719665527344,2424777708.3333333333333333333
-149.66749572753906,2424777916.6666666666666666667
-149.38760375976563,2424778125.0000000000000000000
-148.77510070800781,2424778333.3333333333333333333
-148.15969848632813,2424778541.6666666666666666667
-148.45249938964844,2424778750.0000000000000000000
-148.06199645996094,2424778958.3333333333333333333
-147.49870300292969,2424779166.6666666666666666667
-146.96490478515625,2424779375.0000000000000000000
-147.17239379882813,2424779583.3333333333333333333
-146.55290222167969,2424779791.6666666666666666667
-146.61860656738281,2424780000.0000000000000000000
-146.16810607910156,2424780208.3333333333333333333
-145.85569763183594,2424780416.6666666666666666667
-145.72320556640625,2424780625.0000000000000000000
-145.4501953125,2424780833.3333333333333333333
-145.6802978515625,2424781041.6666666666666666667
-144.89570617675781,2424781250.0000000000000000000
-144.80160522460938,2424781458.3333333333333333333
-145.02679443359375,2424781666.6666666666666666667
