Spectrum 1,04/08/2025 15:24:23
[Global Parameters]
Frequency,2425000000,Hz
Reference Level,-30,dBW
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,7000000,SamplesPerSecond
Acquisition Span,5000000,Hz
Internal Preamp,false,
Actual RF Attenuation,0,dB
Control Spectrum settings,true,
Selected RF Channel,RF,
Selected I Channel,,
Selected Q Channel,,
Selected I Plus Channel,,
Selected I Minus Channel,,
Selected Q Plus Channel,,
Selected Q Minus Channel,,
Active Configuration,RF,
Termination,FiftyOhms,
Center Frequency,2425000000,
Reference Level,0,dBm
Frequency,0,Hz
Down Converter Enabled,false,
Min RF Chan Freq,9000,Hz
Spectrum Inverted,false,
Injection Side,Low,
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Magnetic Declination,0,deg
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,true
Enabled,true
Frequency,2.425,,GHz
Trace 1,-105.94,,dBW
[Marker M1]
Active,false
Enabled,false
Frequency,2.399849143,,GHz
Trace 1,---,,
[Marker M2]
Active,false
Enabled,false
Frequency,2.4152725,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,---,,
Trace 1,---,,

[Parameters]
Span,5000000,Hz
Resolution Bandwidth,100000,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,

Video Bandwidth Enable,true,
Video Bandwidth,1000,Hz
Video Bandwidth,1000,Hz
VBW AnalysisLength Option,SpectrumLength,

[Trace Parameters]
Trace 1
Selected,true,
,false,
Trace Description,Trace 1,
,false,
Function,Average,
Detection,Average,


[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
Trace Description,Spectrogram Trace,
,false,


[Results]
Marker Power ENBW,106204.82456989778,Hz,-0.00055728571428571437,0.0011142857142857144
Noise Marker Offset,-50.26144245902627,dB,-0.00055728571428571437,0.0011142857142857144
Actual RBW,100028.2000272702,Hz,-0.00055728571428571437,0.0011142857142857144
Spectrum Segments,50,,-0.00055728571428571437,0.0011142857142857144

[Traces]
[Trace]
Trace 1,,dBW,-0.00055728571428571437,0.0011142857142857144
NumberPoints,2401
XStart,2422500000,Hz
XStop,2427500000,Hz
-105.95319366455078,2422500000
-105.95039367675781,2422502083.3333333333333333333
-105.94728088378906,2422504166.6666666666666666667
-105.94387054443359,2422506250.0000000000000000000
-105.94004821777344,2422508333.3333333333333333333
-105.93583679199219,2422510416.6666666666666666667
-105.93116760253906,2422512500.0000000000000000000
-105.92598724365234,2422514583.3333333333333333333
-105.92030334472656,2422516666.6666666666666666667
-105.91404724121094,2422518750.0000000000000000000
-105.9072265625,2422520833.3333333333333333333
